Address,Category,SubCategory,Name,Url,UrlImage,Price,PriceWithoutDiscount
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Synergetic, натуральный, Пачули и ароматный бергамот, 380 мл",https://samokat.ru/product/ff2a0a8c-6bb0-11eb-85a3-1c34dae33151,https://cm.samokat.ru/processed/m/product_card/7135a70d-e905-41cf-8f03-525357d5ac71.jpg,189,299
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Synergetic Сандал и ягоды можжевельника, натуральный, 380 мл",https://samokat.ru/product/ff2a0a8f-6bb0-11eb-85a3-1c34dae33151,https://cm.samokat.ru/processed/m/product_card/53f289af-3020-4c0c-abd1-df2243d191dc.jpg,235,336
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа и шампунь Axe Cool Ocean, 2 в 1, с пребиотиками и увлажняющими ингредиентами, 610 мл",https://samokat.ru/product/178eff23-6445-11ed-b107-08c0eb31fffb,https://cm.samokat.ru/processed/m/product_card/e6e6a859-6437-4e17-a9fd-6e0f8d675b69.jpg,469,635
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Palmolive Роскошь масел, с экстрактами инжира, белой орхидеи и маслами, 500 мл",https://samokat.ru/product/f30d5e08-103b-11ee-ae78-08c0eb320147,https://cm.samokat.ru/processed/m/product_card/1c080628-a43c-4ee2-8e25-8eb919837750.jpg,379,499
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Шампунь и гель для душа Synergetic, Энергия и сила, 2 в 1, мужской, бессульфатный, 250 мл",https://samokat.ru/product/4a4fa5a9-328f-11ed-ae72-08c0eb320147,https://cm.samokat.ru/processed/m/product_card/853ab1a3-9f6c-4501-a174-d9961524bb18.jpg,169,299
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа и шампунь Axe Сила технологий, увлажняющий, амбра и чёрный базилик, 610 мл",https://samokat.ru/product/0df56b96-8489-11ee-b10b-08c0eb31fffb,https://cm.samokat.ru/processed/m/product_card/c541d536-6d95-4fda-9ca8-4108d3a71cb3.jpg,459,599
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Соли и пены для ванны,"Из Великобритании: Жемчужины для ванны Bubble t, радужные, 20 шт. по 4 г",https://samokat.ru/product/3faf21e0-f5f6-11eb-85ad-1c34dae33151,https://cm.samokat.ru/processed/m/original/129660_777452863.jpg,881,881
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Скрабы и пилинги,"Скраб для тела Чёрный Жемчуг идеальная кожа, кофейный, 200 мл",https://samokat.ru/product/skrab-dlya-tela-chyornyj-zhemchug-idealnaya-kozha-kofejnyj-200-ml,https://cm.samokat.ru/processed/m/original/159013_161142949.jpg,261,396
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Скрабы и пилинги,"Скраб для тела Synergetic антицеллюлитный, пачули и ароматный бергамот, 300 мл",https://samokat.ru/product/skrab-dlya-tela-synergetic-anticellyulitnyj-pachuli-i-aromatnyj-bergamot-300-ml,https://cm.samokat.ru/processed/m/public/85e37b68dbb41808_4607971452737.jpg,629,629
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Скрабы и пилинги,"Скраб для тела Самокат Vanilla Coffee, антицеллюлитный, 250 мл",https://samokat.ru/product/1b0013bf-20c5-11ee-ae78-08c0eb320147,https://cm.samokat.ru/processed/m/public/3419ee7196903326_2201076000002-1.jpg,365,457
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Скрабы и пилинги,"Скраб для тела Самокат Mango Bumble, увлажнение и эластичность, 250 мл",https://samokat.ru/product/skrab-dlya-tela-samokat-mango-bumble-uvlazhnenie-i-elastichnost-250-ml,https://cm.samokat.ru/processed/m/public/a0a2fea2f266021d_2201075000003-1.jpg,365,457
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Скрабы и пилинги,"Солевой скраб Самокат, Comfy Coconut, кокос и сладкий миндаль, 250 мл",https://samokat.ru/product/88029531-dfc9-11ee-b973-08c0eb32008b,https://cm.samokat.ru/processed/m/product_card/1421f563-a3b9-43d7-88ef-80a835982fd9.jpeg,369,469
